Total Terms,white,black,red,yellow,green,blue,purple
16,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1
32,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1
35,1,1,1,1,1,1,1
35,1,1,1,1,1,1,1
37,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1
46,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1
52,1,1,1,1,1,1,1
52,1,1,1,1,1,1,1
53,1,1,1,1,1,1,1
54,1,1,1,1,1,1,1
54,1,1,1,1,1,1,1
54,1,1,1,1,1,1,1
57,1,1,1,1,1,1,1
57,1,1,1,1,1,1,1
69,1,1,1,1,1,1,1
72,1,1,1,1,1,1,1
74,1,1,1,1,1,1,1
76,1,1,1,1,1,1,1
83,1,1,1,1,1,1,1
86,1,1,1,1,1,1,1
87,1,1,1,1,1,1,1
90,1,1,1,1,1,1,1
91,1,1,1,1,1,1,1
102,1,1,1,1,1,1,1
118,1,1,1,1,1,1,1
